"","site","date","percip","weather","temp","sunrise","American Crow","Spotted Towhee","American Robin","Fox Sparrow","Black-capped Chickadee","Varied Thrush","Golden-crowned Kinglet","Northern Flicker","Purple Finch","Pacific Wren","Ruby-crowned Kinglet ","Song Sparrow ","Brown Creeper","Cedar Waxwing","Stellar's Jay","Chestnut-backed Chickadee","Song Sparrow","Hermit Thrush","House Finch","European Starling","Pileated Woodpecker","Downy Woodpecker","Anna's Hummingbird"
"1","New",2021-10-27,"Dry","partly cloudy",9,7H 53M 0S,2,11,1,5,8,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"2","Old",2021-10-27,"Dry","partly cloudy",9,7H 53M 0S,5,1,0,0,0,0,11,2,0,12,0,2,13,1,0,0,0,0,0,0,0,0,0
"3","New",2021-10-25,"Dry","overcast",12,7H 49M 0S,0,6,0,0,14,0,1,4,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0
"4","Old",2021-10-25,"Dry","overcast",12,7H 49M 0S,1,0,1,0,0,0,8,0,0,8,0,0,5,0,4,1,0,0,0,0,0,0,0
"5","Old",2021-10-20,"Wet","mostly cloudy",10,7H 41M 0S,0,0,0,0,0,0,10,0,0,8,0,3,0,0,0,0,0,0,0,0,0,0,0
"6","New",2021-10-20,"Wet","mostly cloudy",10,7H 41M 0S,1,3,1,5,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
"7","Old",2021-10-18,"Dry","lightly cloudy",9,7H 38M 0S,3,0,0,0,1,0,0,1,0,12,0,1,0,0,1,1,0,0,1,0,0,0,0
"8","New",2021-10-18,"Dry","lightly cloudy",9,7H 38M 0S,6,12,2,44,22,7,0,1,0,14,0,5,2,0,0,0,0,0,1,1,1,0,0
"9","Old",2021-10-16,"Wet","mostly cloudy",11,7H 36M 0S,0,0,0,0,2,0,6,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0
"10","New",2021-10-16,"Wet","mostly cloudy",11,7H 36M 0S,1,3,10,4,2,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0
"11","New",2021-10-13,"Dry","lightly cloudy",6,7H 31M 0S,6,8,1,14,8,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1
"12","Old",2021-10-13,"Dry","lightly cloudy",6,7H 31M 0S,2,0,1,0,1,0,1,0,0,6,0,0,5,0,3,0,0,0,0,0,3,0,0
